placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,tuesday,wednesday,thursday,friday,saturday,sunday,monday,isBlackOwned,attributes,error
https://www.google.com/maps/place/Vein+Care+Clinic/data=!4m7!3m6!1s0x52b3329a2fbcce7d:0xe90be7215f2276ec!8m2!3d44.9771818!4d-93.2690063!16s%2Fg%2F1tf_0qwj!19sChIJfc68L5oys1IR7HYiXyHnC-k,Vein Care Clinic,,,Medical clinic,"120 South 6th St #155, Minneapolis, MN 55402, United States","XPGJ+V9 Minneapolis, Minnesota, USA",,+1 612-347-7660,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f1uawUpaS86SOA6RlwJTdg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.796158&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:06.259Z,,,,,,,,,,,
https://www.google.com/maps/place/Minneapolis+Vein+Center/data=!4m7!3m6!1s0x52b34a3b50703053:0xe576f8dc9e67d165!8m2!3d45.0118319!4d-93.4516074!16s%2Fg%2F12llsbg5d!19sChIJUzBwUDtKs1IRZdFnntz4duU,Minneapolis Vein Center,4.8,97,Medical clinic,"2800 Campus Dr Suite 20, Plymouth, MN 55441, United States","2G6X+P9 Plymouth, Minnesota, USA",https://www.mplsvein.com/,+1 763-398-8710,"Closes soon · 5 pm · Opens 7 am Wed

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMuJ-HAg-RLpcEQ5LNOiJsOajg5ukiTBSvWY4D3=w408-h408-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:11.474Z,LGBTQ+ friendly,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,Closed,7 am–5 pm,,,
https://www.google.com/maps/place/University+of+Minnesota+Health+Vascular+Lab/data=!4m7!3m6!1s0x52b32d23d6ddbebb:0x1343f1456c7f759b!8m2!3d44.970498!4d-93.225201!16s%2Fg%2F11clzqt2yw!19sChIJu77d1iMts1IRm3V_bEXxQxM,University of Minnesota Health Vascular Lab,,,Medical clinic,"909 Fulton St SE 1st floor, Minneapolis, MN 55455, United States","XQCF+5W Minneapolis, Minnesota, USA",,+1 612-365-5000,Closes soon · 5 pm · Opens 7 am Wed,https://lh3.googleusercontent.com/p/AF1QipPYhf_9qWNF2W1LPFg_CQyVQc19yvxsDEpq4aQ8=w408-h353-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:16.208Z,LGBTQ+ friendly,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,,,
"https://www.google.com/maps/place/Whittier+Imaging+Vein+Care/@44.951565,-93.278743,17z/data=!3m1!4b1!4m6!3m5!1s0x87f6278acc110ac9:0x9a85d5188e3eecef!8m2!3d44.951565!4d-93.278743!16s%2Fg%2F1hjh0q116",Whittier Imaging Vein Care,,,Medical diagnostic imaging center,"2810 Nicollet Ave, Minneapolis, MN 55408, United States","XP2C+JG Minneapolis, Minnesota, USA",,+1 612-873-7833,,,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:21.033Z,,,,,,,,,,,
https://www.google.com/maps/place/Vascular+Specialists+Of+Minnesota/data=!4m7!3m6!1s0x87f627ff74f39447:0x796dd74718ac65b1!8m2!3d44.9524079!4d-93.2608058!16s%2Fg%2F1v3dspgy!19sChIJR5TzdP8n9ocRsWWsGEfXbXk,Vascular Specialists Of Minnesota,5.0,1,Surgical center,"920 E 28th St, Minneapolis, MN 55407, United States","XP2Q+XM Minneapolis, Minnesota, USA",,+1 612-863-6800,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q2JnJrna3-EF988vHBjOhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.4396837&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:23.690Z,,,,,,,,,,,
https://www.google.com/maps/place/Minneapolis+Heart+Institute+-+Vascular+%26+Endovascular+Services/data=!4m7!3m6!1s0x52b332aad4f7fe09:0x7ff12d3d2b9a75c3!8m2!3d44.953729!4d-93.260696!16s%2Fg%2F11cs0rtsvp!19sChIJCf731Koys1IRw3WaKz0t8X8,Minneapolis Heart Institute - Vascular & Endovascular Services,5.0,3,Vascular surgeon,"Abbott Northwestern Hospital's Heart Hospital, 800 E 28th St, Minneapolis, MN 55407, United States","XP3Q+FP Minneapolis, Minnesota, USA",http://www.allina.com/ahs/anw.nsf/page/vascular_endo,+1 612-863-3900,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqRpC9R1T5VHSM-jFIcnFA1BmCdw_wpfTn5jKxGW3BiJXul5BOciW0bn6Tup5Y4u2fYBfKvdLmHwD_LLWak0V5jrRghTL2m-4tPG5vYOOl5wCjc4GFJ90B-EBllLrxO1mcu2P9=w513-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:26.470Z,,,,,,,,,,,
https://www.google.com/maps/place/Minnesota+Vein+Center/data=!4m7!3m6!1s0x52b328268062c3e5:0x2424ba5d6e8bed17!8m2!3d45.081384!4d-93.115971!16s%2Fg%2F1tjync8m!19sChIJ5cNigCYos1IRF-2Lbl26JCQ,Minnesota Vein Center,5.0,88,Doctor,"400 Village Center Dr #800, North Oaks, MN 55127, United States","3VJM+HJ North Oaks, Minnesota, USA",https://www.mnveincenter.com/locations/varicose-veins-north-oaks/?utm_campaign=gmb,+1 651-765-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOdXubOUvAFpOw_XnQeh_Buxb5WZc8QAGdWctFu=w408-h270-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:31.311Z,,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,
https://www.google.com/maps/place/Minnesota+Vein+Center/data=!4m7!3m6!1s0x87f7d75a3c9f6b25:0xb63b41b18cfa95d!8m2!3d44.9381255!4d-92.9521728!16s%2Fg%2F11tn08gkl0!19sChIJJWufPFrX94cRXanPGBu0Yws,Minnesota Vein Center,4.9,72,Medical clinic,"731 Bielenberg Dr suite 208, Woodbury, MN 55125, United States","W2QX+74 Woodbury, Minnesota, USA",https://www.mnveincenter.com/locations/varicose-veins-woodbury/?utm_campaign=gmb,+1 651-765-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipO6AecLWnfvRnTPgoQgbF5yP7fsE4OrGc3jkvzP=w408-h279-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:36.407Z,,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,
https://www.google.com/maps/place/Skin+Haven+Aesthetics/data=!4m7!3m6!1s0x52b32dac588eb993:0x8e4e067294ee2868!8m2!3d44.980793!4d-93.2357948!16s%2Fg%2F11l2x_7tll!19sChIJk7mOWKwts1IRaCjulHIGTo4,Skin Haven Aesthetics,5.0,5,Laser hair removal service,"405 14th Ave SE, Minneapolis, MN 55414, United States","XQJ7+8M Minneapolis, Minnesota, USA",https://www.instagram.com/skinhavenmn,+1 651-808-5848,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dHT_GWu-6hNvJjYPMgmSFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.601&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:41.274Z,,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,8 am–8 pm,Closed,8 am–3:30 pm,,,
https://www.google.com/maps/place/Mecca+Medical+Center-MINNEAPOLIS/data=!4m7!3m6!1s0x52b32d5e213e2323:0x7878acf419dcf6!8m2!3d44.9623395!4d-93.2576962!16s%2Fg%2F11lq2pfvfz!19sChIJIyM-IV4ts1IR9twZ9Kx4eAA,Mecca Medical Center-MINNEAPOLIS,4.5,46,Medical clinic,"1113 E Franklin Ave Suite 106, Minneapolis, MN 55404, United States","XP6R+WW Minneapolis, Minnesota, USA",https://meccamedicare.com/contact-us-1,+1 612-440-5550,"Open · Closes 7 pm

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIj1z5eLEw07_BbNtkc9Xve4hAvPa7Xkdh5lbdEuloE2pkDM7G0mMFg_GFHY9fEi-z6QMzidktyfDQLiy0JKW4ZPXBCaqjHEnVhaDO4p1P7ntmscOZiY5V5W3nbimrl5i0MGc=w408-h305-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2025-12-16T22:51:46.393Z,,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,Closed,10 am–7 pm,,,
