placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info
"https://www.google.com/maps/place/Genesis+Behavioral+Health+%7C+Davenport,+IA/data=!4m7!3m6!1s0x87e235f413943fc5:0x39efd608783274ca!8m2!3d41.543537!4d-90.5940276!16s%2Fg%2F11h2l8jt0d!19sChIJxT-UE_Q14ocRynQyeAjW7zk","Genesis Behavioral Health | Davenport, IA",1.9,10,Mental health clinic,"Behavioral Health, 1401 W Central Park Ave, Davenport, IA 52804, United States","GCV4+C9 Davenport, Iowa, USA",https://www.genesishealth.com/care-treatment/behavioral-health/,+1 563-421-2990,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=94Va0La-4_BZsPwy9ZWptg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.84341&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:09.913Z,
https://www.google.com/maps/place/New+View+Psychiatry/data=!4m7!3m6!1s0x696ad076980ba2d:0x8da68debc666c8aa!8m2!3d41.5520652!4d-90.4966572!16s%2Fg%2F11lzxck135!19sChIJLbqAaQetlgYRqshmxuuNpo0,New View Psychiatry,5.0,21,Mental health service,"2535 Tech Dr, Bettendorf, IA 52722, United States","HG23+R8 Bettendorf, Iowa, USA",https://www.newviewpsychiatry.com/,+1 563-495-5448,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipP2qgLMw9lU9tLzsVtBVOr4-3swix_e9NDr7l6O=w427-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:16.051Z,
"https://www.google.com/maps/place/Quad+City+Psychotherapy,+PLLC/data=!4m7!3m6!1s0x87e236e57d8a047d:0xb73a163618efb759!8m2!3d41.5484317!4d-90.5510489!16s%2Fg%2F11g8kcmq64!19sChIJfQSKfeU24ocRWbfvGDYWOrc","Quad City Psychotherapy, PLLC",4.9,16,Mental health service,"2805 Eastern Ave, Davenport, IA 52803, United States","GCXX+9H Davenport, Iowa, USA",http://www.qcpsychotherapy.com/,+1 563-265-1529,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipOaOEIH5zoyH5pA1ayvyw24tiBDoQ5GFAE-alGK=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:21.054Z,LGBTQ+ friendly
https://www.google.com/maps/place/Vera+French+Community+Mental+Health+-+Carol+Center/data=!4m7!3m6!1s0x87e234fbd46ca09d:0xf3ba2553985cd166!8m2!3d41.5283092!4d-90.5773859!16s%2Fg%2F11f0y52p25!19sChIJnaBs1Ps04ocRZtFcmFMluvM,Vera French Community Mental Health - Carol Center,4.1,17,Mental health service,"808 N Harrison St, Davenport, IA 52803, United States","GCHF+82 Davenport, Iowa, USA",https://www.verafrenchmhc.org/vera-french-mental-health-center/carol-center/,+1 563-322-5276,Closed · Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipMUe9UYpQCdICbvtMPO3wQo7-LW1XKSzcbg6JZR=w408-h282-k-no,true,7 am–4 pm,7 am–5 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:26.146Z,
https://www.google.com/maps/place/Vera+French+Community+Mental+Center/data=!4m7!3m6!1s0x87e234cecd03b157:0xce716cbcc37a3a4c!8m2!3d41.5448418!4d-90.5951074!16s%2Fg%2F1tf1pcx5!19sChIJV7EDzc404ocRTDp6w7xscc4,Vera French Community Mental Center,2.7,59,Mental health clinic,"1441 W Central Park Ave, Davenport, IA 52804, United States","GCV3+WX Davenport, Iowa, USA",http://www.verafrenchmhc.org/,+1 563-383-1900,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN16Bukwl9s5RsmgLTyfei9K7mYnayZ2t6G3s2M=w408-h272-k-no,true,8 am–7 pm,8 am–7 pm,8 am–5 pm,8 am–7 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:31.234Z,
https://www.google.com/maps/place/Henry+Emerle/data=!4m7!3m6!1s0x87e234cecce55555:0x2f6d1a5c66527827!8m2!3d41.544844!4d-90.5951331!16s%2Fg%2F11sh2c9cjn!19sChIJVVXlzM404ocRJ3hSZlwabS8,Henry Emerle,5.0,2,Psychiatrist,"1441 W Central Park Ave, Davenport, IA 528041707, United States","GCV3+WW Davenport, Iowa, USA",,+1 563-383-1900,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3abN8oV_kceDQBsTa6y0zg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.89427&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:34.026Z,
https://www.google.com/maps/place/Psychology+Health+Group/data=!4m7!3m6!1s0x87e2344ac41e8dc1:0x5fe9ee77c1b6c7fa!8m2!3d41.5590119!4d-90.5461329!16s%2Fg%2F1tdj4rv8!19sChIJwY0exEo04ocR-se2wXfu6V8,Psychology Health Group,3.8,19,Counselor,"2102 E 38th St, Davenport, IA 52807, United States","HF53+JG Davenport, Iowa, USA",http://www.phgqc.com/,+1 563-359-4049,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=17QySQx2LhNd0G9kAi-76A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.2624&pitch=0&thumbfov=100,true,8 am–8 pm,8 am–7 pm,8 am–6 pm,8 am–8 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:39.111Z,
https://www.google.com/maps/place/Pearson+Mental+Health+Therapy/data=!4m7!3m6!1s0x87e23700ee65ffd7:0xddca71e4893b86b6!8m2!3d41.557489!4d-90.5426411!16s%2Fg%2F11fnc2kqn8!19sChIJ1_9l7gA34ocRtoY7ieRxyt0,Pearson Mental Health Therapy,5.0,2,Psychotherapist,"2322 E Kimberly Rd Ste 265N, Davenport, IA 52807, United States","HF44+XW Davenport, Iowa, USA",http://www.pearsonmentalhealththerapy.com/,+1 563-349-7948,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipNMCqTqMznZPseeXGED6GsItrNSp4BfK4x5pXb4=w408-h510-k-no,true,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,9 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:45.417Z,
https://www.google.com/maps/place/Eagle+View+Behavioral+Health/data=!4m7!3m6!1s0x87e2367e00c675d9:0x10888c07cfe1f27b!8m2!3d41.5606072!4d-90.5206667!16s%2Fg%2F11fll63r_1!19sChIJ2XXGAH424ocRe_LhzweMiBA,Eagle View Behavioral Health,2.8,177,Psychiatric hospital,"770 Tanglefoot Ln, Bettendorf, IA 52722, United States","HF6H+6P Bettendorf, Iowa, USA",https://eagleviewbh.com/?utm_source=gmblisting&utm_medium=organic&utm_campaign=webbutton,+1 563-241-7443,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN0P2nY0QNSYYS404t7v7nqqaT5nVi8WyMZrGwt=w522-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:50.894Z,
"https://www.google.com/maps/place/Dr.+William+M.+Nissen,+MD/data=!4m7!3m6!1s0x87e234cecd03b157:0x1c10b61119173e98!8m2!3d41.5448576!4d-90.5950857!16s%2Fg%2F1tfr0zvy!19sChIJV7EDzc404ocRmD4XGRG2EBw","Dr. William M. Nissen, MD",5.0,1,Psychiatrist,"1441 W Central Park Ave Apt 53, Davenport, IA 52804, United States","GCV3+WX Davenport, Iowa, USA",,+1 563-383-1900,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3abN8oV_kceDQBsTa6y0zg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.762&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Davenport+IA+IA/@41.5237912,-90.576587,14z",2025-12-16T03:17:53.742Z,
