placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,isBlackOwned,attributes
"https://www.google.com/maps/place/The+Vein+Center+at+Savannah+Vascular+Institute/@32.0808989,-81.091203,14z/data=!4m6!3m5!1s0x88fb75f1e2013661:0x8a771b353d4b7a4!8m2!3d32.0039683!4d-81.1100469!16s%2Fg%2F1td4qkhl",The Vein Center at Savannah Vascular Institute,5.0,2,Surgical center,"7208 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","2V3Q+HX Savannah, Georgia, USA",http://www.savannahvascular.com/,+1 912-352-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipP-dMu8ZMvUrMoaSeZtxnTU7HZBx1ErcBSwTY_0=w408-h306-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-12-16T22:21:18.741Z,,,,
"https://www.google.com/maps/place/Innovative+Vein+Center/@32.115481,-81.2470574,14z/data=!4m6!3m5!1s0x88fba70d72655555:0x2b5934f312cae68f!8m2!3d32.0808236!4d-81.286078!16s%2Fg%2F11rxhzwr6h",Innovative Vein Center,5.0,2,Doctor,"200 Blue Moon Xing, Pooler, GA 31322, United States","3PJ7+8H Pooler, Georgia, USA",https://innovativeveincenter.com/contacts/,+1 800-282-0049,Closed · Opens 8 am Wed,,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Pooler+Savannah+GA/@32.115481,-81.2470574,14z",2025-12-16T22:21:27.250Z,,,,
https://www.google.com/maps/place/Savannah+Vascular+Institute/data=!4m7!3m6!1s0x88fb75f1dbec34a5:0xba219e3d3b4865c8!8m2!3d32.0039683!4d-81.1100469!16s%2Fg%2F11cn7qpdl5!19sChIJpTTs2_F1-4gRyGVIOz2eIbo,Savannah Vascular Institute,4.9,226,Surgical center,"7208 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","2V3Q+HX Savannah, Georgia, USA",http://www.savannahvascular.com/,+1 912-352-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPLepp2rNm06Gf79nZJMWF7DODsx5rUQvqi_2Ax=w630-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:21:47.439Z,,,,
"https://www.google.com/maps/place/Dr.+John+Paletta,+MD/data=!4m7!3m6!1s0x88fb0ff0ab3baefb:0xca10600d7a3b7f22!8m2!3d31.9474509!4d-81.3100697!16s%2Fg%2F11lgc_p_jx!19sChIJ-647q_AP-4gRIn87eg1gEMo","Dr. John Paletta, MD",5.0,5,Plastic surgeon,"10055 Ford Ave STE 5A, Richmond Hill, GA 31324, United States","WMWQ+XX Richmond Hill, Georgia, USA",http://www.johnpalettamd.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,+1 912-644-8224,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPLO-ZGYKFZC0rUQN5aBBgcbNU2qZlVtQRX05ui=w408-h510-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:21:59.123Z,,,,
"https://www.google.com/maps/place/J+Sheppard+Mondy,+III+MD/data=!4m7!3m6!1s0x88fb75f1e2013661:0xb1865b0e513a3e8c!8m2!3d32.0039683!4d-81.1100469!16s%2Fg%2F1tdr44_s!19sChIJYTYB4vF1-4gRjD46UQ5bhrE","J Sheppard Mondy, III MD",5.0,79,Vascular surgeon,"7208 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","2V3Q+HX Savannah, Georgia, USA",http://www.savannahvascular.com/,+1 912-352-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipN0eBStP07TwmX49zaBTiV7-6iq5oc93eC8TgMf=w408-h461-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:04.335Z,,,,
"https://www.google.com/maps/place/Larry+Horesh,+M.D./data=!4m7!3m6!1s0x88fb75f1e2013661:0x809b6972561d1939!8m2!3d32.0039683!4d-81.1100469!16s%2Fg%2F1thxly1_!19sChIJYTYB4vF1-4gRORkdVnJpm4A","Larry Horesh, M.D.",4.8,190,Radiologist,"7208 Hodgson Memorial Dr Suite A, Savannah, GA 31406, United States","2V3Q+HX Savannah, Georgia, USA",http://www.savannahvascular.com/,+1 912-352-8346,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOBd3A8uIoQddupHXlt97hfYtRihK3Pxkjofj6u=w584-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:09.352Z,,,,
https://www.google.com/maps/place/St.+Joseph%27s%2FCandler+Physician+Network+-+Vascular/data=!4m7!3m6!1s0x88fb75ed1fa93c33:0x4c9d84623154bf7b!8m2!3d31.98709!4d-81.151793!16s%2Fg%2F11c5sb606z!19sChIJMzypH-11-4gRe79UMWKEnUw,St. Joseph's/Candler Physician Network - Vascular,5.0,6,Surgical center,"11909 McAuley Dr C, Suite 100-A2, Savannah, GA 31419, United States","XRPX+R7 Savannah, Georgia, USA",https://www.sjcphysiciannetwork.com/specialty-health-services/vascular-surgery,+1 912-354-8331,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxlnSLtIlBdgl5Zbg083rKCEOYqN81Gwi-wHtGut9SV2Fpspcj-hEd8qYsHc1A1hjT88ryMIQGXOl_BPFjCGAeYJ_IZ-VlJXKUv5KnFOx6PDR0lLBx4ifhQQ8zf82DOvDsWCDbo=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:14.026Z,,,,
https://www.google.com/maps/place/Radiant+Skin+Medical+Spa+Richmond+Hill/data=!4m7!3m6!1s0x88fb0f3e3b3dfdd1:0x16bde6cc75d2ad9d!8m2!3d31.9461289!4d-81.3139387!16s%2Fg%2F11bbwp6998!19sChIJ0f09Oz4P-4gRna3SdczmvRY,Radiant Skin Medical Spa Richmond Hill,4.9,142,Medical spa,"2591 US-17 #301, Richmond Hill, GA 31324, United States","WMWP+FC Richmond Hill, Georgia, USA",http://radiantskinrichmondhill.com/,+1 912-459-7546,Closes soon · 6 pm · Opens 10 am Wed,https://lh3.googleusercontent.com/p/AF1QipPGFpoZZBV4D91HJHqe67wcl4qweWLiKQkVXGtZ=w408-h612-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–2 pm,Closed,10 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:19.009Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/St.+Joseph%27s%2FCandler+Urgent+Care+-+Richmond/data=!4m7!3m6!1s0x88fb0fd4319e45cf:0xac89ff01dc457d00!8m2!3d31.9098438!4d-81.2769934!16s%2Fg%2F11rg7bycqk!19sChIJz0WeMdQP-4gRAH1F3AH_iaw,St. Joseph's/Candler Urgent Care - Richmond,4.7,977,Urgent care center,"13314 GA-144, Richmond Hill, GA 31324, United States","WP5F+W6 Richmond Hill, Georgia, USA",https://sjcurgentcare.com/locations/richmond-hill/,+1 912-910-2010,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOeGd-qhdvho6Z-f2Pm3LBydgyan3WMbDHLoKM7=w408-h300-k-no,true,8 am–2 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–6 pm,8 am–6 pm,8 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:23.869Z,,,,
https://www.google.com/maps/place/Magnolia+Aesthetics+%26+Wellness/data=!4m7!3m6!1s0x2be6db847b42e049:0xf1070382b92366db!8m2!3d31.9481685!4d-81.3115314!16s%2Fg%2F11q2t4m4zd!19sChIJSeBCe4Tb5isR22YjuYIDB_E,Magnolia Aesthetics & Wellness,4.9,64,Medical spa,"9976 Ford Ave Unit B, Richmond Hill, GA 31324, United States","WMXQ+79 Richmond Hill, Georgia, USA",https://www.magnoliaaestheticsandwellness.com/?utm_source=gbp&utm_medium=organic,+1 912-226-2111,,https://lh3.googleusercontent.com/p/AF1QipPvFrPBsaka4UZImmHycfo_nUKln3SLtczGLM7_=w408-h271-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Richmond+Hill+Savannah+GA/@31.9382652,-81.3034433,14z",2025-12-16T22:22:26.944Z,,,,
