placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,isBlackOwned
https://www.google.com/maps/place/Canadian+Valley+Pediatrics/data=!4m7!3m6!1s0x87b2080c505e409b:0x67303b34859e8ffc!8m2!3d35.480592!4d-97.76503!16s%2Fg%2F12hnk4r54!19sChIJm0BeUAwIsocR_I-ehTQ7MGc,Canadian Valley Pediatrics,4.8,95,Pediatrician,"1601 Health Center Pkwy Building 900, Yukon, OK 73099, United States","F6JM+6X Yukon, Oklahoma, USA",http://canadianvalleypediatrics.com/?utm_source=next&utm_medium=google_website,+1 405-577-6700,Closes soon · 4:30 pm · Opens 8 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOChvTyfK-i8Q7ZqgD-pvs7PaGvpPCBHTeqVE4G=w426-h240-k-no,true,"8 am–12:30 pm, 1:30–4:30 pm","8 am–12:30 pm, 1:30–4:30 pm","8 am–12:30 pm, 1:30–4:30 pm",8 am–12:30 pm,Closed,Closed,"8 am–12:30 pm, 1:30–4:30 pm","https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:22:50.614Z,,
https://www.google.com/maps/place/Variety+Care+Yukon/data=!4m7!3m6!1s0x87b207d7bf7bcdc3:0xb6a4e43ff8a17823!8m2!3d35.4929975!4d-97.7506145!16s%2Fg%2F1tl_m6vf!19sChIJw817v9cHsocRI3ih-D_kpLY,Variety Care Yukon,4.6,295,Pediatrician,"508 W Vandament Ave #210, Yukon, OK 73099, United States","F6VX+5Q Yukon, Oklahoma, USA",http://www.varietycare.org/,+1 405-632-6688,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipOD1eRkhP9tOfPhPr5l0qqmU5tpPCWcfXj_-f9g=w469-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:22:56.205Z,,
https://www.google.com/maps/place/Flores+Pediatrics+LLC/data=!4m7!3m6!1s0x87b2063142683039:0x6f787b1c90068183!8m2!3d35.5082899!4d-97.7361111!16s%2Fg%2F1tl8l6lf!19sChIJOTBoQjEGsocRg4EGkBx7eG8,Flores Pediatrics LLC,3.5,92,Pediatrician,"415 E Main St bldg b, Yukon, OK 73099, United States","G757+8H Yukon, Oklahoma, USA",https://rymaps.org/business/flores-pediatrics-llc-ia3p6u,+1 405-350-3000,Closes soon · 5 pm · Opens 9 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eGIvEDIzn0ITdkrG2izeuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.9722&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:01.531Z,,
https://www.google.com/maps/place/A+Place+to+Grow+Pediatrics/data=!4m7!3m6!1s0x87b208e6ee4a8591:0x2a7c254829869a2b!8m2!3d35.457331!4d-97.723518!16s%2Fg%2F11btz27gyk!19sChIJkYVK7uYIsocRK5qGKUglfCo,A Place to Grow Pediatrics,4.5,142,Pediatrician,"812 S Mustang Rd, Yukon, OK 73099, United States","F74G+WH Yukon, Oklahoma, USA",http://www.aplacetogrowpediatrics.com/,+1 405-265-3900,Closes soon · 4:30 pm · Opens 8:30 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweramSF3l9jfjCsvV8oEdJqXyjSY6n4C2SjYaOk3-RtCuoEOuvxsAuoO-j091bHR8-Jqv8RHzEB8V0FEchkgw4pL861LcAwJBsJpw51vrn2iICcAz9Xl8D75ulUv9DM4vgSvmlw=w426-h240-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:06.401Z,,
https://www.google.com/maps/place/Arambula+Martha+MD/data=!4m7!3m6!1s0x87b2080cf4b8f251:0xc64a8334fcca91b5!8m2!3d35.4817451!4d-97.7686656!16s%2Fg%2F1thvhfs9!19sChIJUfK49AwIsocRtZHK_DSDSsY,Arambula Martha MD,4.5,39,Pediatrician,"1824 Commons Cir suite a, Yukon, OK 73099, United States","F6JJ+MG Yukon, Oklahoma, USA",http://drapeds.com/,+1 405-265-2744,Closes soon · 4:30 pm · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PtbUTHQvOB80GkPMmfkUpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.7982&pitch=0&thumbfov=100,true,"8 am–12:30 pm, 1:30–4:30 pm","8 am–12:30 pm, 1:30–4:30 pm","8 am–12:30 pm, 1:30–4:30 pm",8 am–12 pm,Closed,Closed,"8 am–12:30 pm, 1:30–4:30 pm","https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:11.396Z,,
"https://www.google.com/maps/place/Dr.+Dina+M.+Bowen,+MD/@35.480592,-97.76503,17z/data=!3m1!4b1!4m6!3m5!1s0x87b2080dcc8413f1:0x51fbf2665712c4b6!8m2!3d35.480592!4d-97.76503!16s%2Fg%2F11bwd5cbhq","Dr. Dina M. Bowen, MD",4.4,39,Pediatrician,"1601 Health Center Pkwy bldg 900, Yukon, OK 73099, United States","F6JM+6X Yukon, Oklahoma, USA",https://canadianvalleypediatrics.com/,+1 405-577-6700,Closes soon · 4:30 pm · Opens 8 am Wed,,,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–12:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:18.288Z,,
https://www.google.com/maps/place/Pediatric+Dental+Care+of+Yukon/data=!4m7!3m6!1s0x87b2062801f07dd5:0x2f8f91df541c6cf0!8m2!3d35.4930171!4d-97.7311739!16s%2Fg%2F1ths9w72!19sChIJ1X3wASgGsocR8GwcVN-Rjy8,Pediatric Dental Care of Yukon,4.9,396,Pediatric dentist,"1300 Crop Creek, Yukon, OK 73099, United States","F7V9+6G Yukon, Oklahoma, USA",https://www.pdcyukon.com/,+1 405-656-7431,Closes soon · 4:30 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipN6p4DWtbIZiUitkjsoumGFbXgVXY9KHB-lw9If=w408-h306-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,Closed,"8 am–1 pm, 2:30–4:30 pm","https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:23.215Z,,
https://www.google.com/maps/place/INTEGRIS+Health+Medical+Group+Yukon/data=!4m7!3m6!1s0x87dfe970b372f44b:0x6a41a006ebfddacf!8m2!3d35.484865!4d-97.763261!16s%2Fg%2F1tfzmwwp!19sChIJS_Rys3Dp34cRz9r96wagQWo,INTEGRIS Health Medical Group Yukon,4.9,963,Family practice physician,"1205 Health Center Pkwy #100, Yukon, OK 73099, United States","F6MP+WM Yukon, Oklahoma, USA",https://integrishealth.org/locations/family-care-clinic/medical-group-yukon,+1 405-717-5400,Closes soon · 5 pm · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SAFv2oxdR7Rv-M9FFFR19g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.963724&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:28.024Z,,
"https://www.google.com/maps/place/Dr.+Javier+A.+Flores,+MD/data=!4m7!3m6!1s0x87b2063142683039:0x50cfa0e894144aa8!8m2!3d35.5083134!4d-97.7362087!16s%2Fg%2F1td7tpq0!19sChIJOTBoQjEGsocRqEoUlOigz1A","Dr. Javier A. Flores, MD",3.7,10,Pediatrician,"415 E Main St, Yukon, OK 73099, United States","G757+8G Yukon, Oklahoma, USA",,+1 405-350-3000,Closes soon · 5 pm · Opens 9 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f_96wBXRsVaVdtZzxZA-PQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.85184&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:32.764Z,,
https://www.google.com/maps/place/Oklahoma+Pediatric+Therapy+Center/data=!4m7!3m6!1s0x87b2080dc980c10b:0x4682b7441ba2ec39!8m2!3d35.4815073!4d-97.7686694!16s%2Fg%2F11bcdhstx9!19sChIJC8GAyQ0IsocROeyiG0S3gkY,Oklahoma Pediatric Therapy Center,4.6,41,Medical clinic,"1824 Commons Cir Suite B, Yukon, OK 73099, United States","F6JJ+JG Yukon, Oklahoma, USA",https://optccares.com/,+1 405-467-6782,Open · Closes 5:30 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j1GM3ZeEgJuAZfpX5pF5UA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.37997&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–1 pm,Closed,Closed,8 am–5:30 pm,"https://www.google.com/maps/search/pediatrician+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-02-10T22:23:37.494Z,,
