placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,error
"https://www.google.com/maps/place/Amoskeag+Health,+The+Dr.+Selma+Deitch+Center+for+Children+and+Teens/data=!4m7!3m6!1s0x89e24f2517809c53:0xf9af4a52dffd3685!8m2!3d42.9960414!4d-71.4632108!16s%2Fg%2F1tjl6xlx!19sChIJU5yAFyVP4okRhTb931JKr_k","Amoskeag Health, The Dr. Selma Deitch Center for Children and Teens",4.8,253,Medical clinic,"1245 Elm St, Manchester, NH 03101, United States","XGWP+CP Manchester, New Hampshire, USA",http://www.amoskeaghealth.org/,+1 603-626-9500,Closed · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM9PTnszjv1GLI597DrqGNygsP248apD_chtCNG=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:03.263Z,,
https://www.google.com/maps/place/Elliot+Pediatric+Specialists/data=!4m7!3m6!1s0x89e24e5c5d59582f:0xc95304c0c7e97!8m2!3d42.9834774!4d-71.4317106!16s%2Fg%2F12606g516!19sChIJL1hZXVxO4okRl34MTDCVDAA,Elliot Pediatric Specialists,4.3,87,Pediatrician,"275 Mammoth Rd # 1, Manchester, NH 03109, United States","XHM9+98 Manchester, New Hampshire, USA",https://www.elliothospital.org/website/pediatrics.php,+1 603-663-3222,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-4Bjj_cTgdSZ3EB5uP5GIg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.87094&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:09.561Z,,
https://www.google.com/maps/place/Elliot+Pediatrics+at+Manchester/data=!4m7!3m6!1s0x89e24effd7957323:0x53f168d039d25b03!8m2!3d42.9834121!4d-71.4316697!16s%2Fg%2F1tdb0pxb!19sChIJI3OV1_9O4okRA1vSOdBo8VM,Elliot Pediatrics at Manchester,3.4,5,Pediatrician,"275 Mammoth Rd # 1, Manchester, NH 03109, United States","XHM9+98 Manchester, New Hampshire, USA",https://www.elliothospital.org/elliotpediatricsatmanchester,+1 603-663-8350,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=srzpXbPNlDXxNBy5gZB2bQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=14.623801&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:14.346Z,,
https://www.google.com/maps/place/Children%27s+Hospital+at+Dartmouth-Hitchcock+Manchester/data=!4m7!3m6!1s0x89e24f9b71fe09e5:0xe15c93cded5c42b!8m2!3d43.010409!4d-71.4226599!16s%2Fg%2F1tl_mqjg!19sChIJ5Qn-cZtP4okRK8TV3jzJFQ4,Children's Hospital at Dartmouth-Hitchcock Manchester,3.2,18,Children's hospital,"100 Hitchcock Way, Manchester, NH 03104, United States","2H6G+5W Manchester, New Hampshire, USA",http://www.chadkids.org/,+1 603-695-2500,Open · Closes 8 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XQ7UmAyFh1BYG5dgHofGAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.883818&pitch=0&thumbfov=100,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–5 pm,8 am–5 pm,8 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:19.431Z,,
"https://www.google.com/maps/place/Jennifer+M.+D%27Auteuil,+MSN,+APRN/data=!4m7!3m6!1s0x89e24f84a3eaaaab:0xadeb2fe6ea0bb789!8m2!3d43.010453!4d-71.4235355!16s%2Fg%2F1tg5_n0j!19sChIJq6rqo4RP4okRibcL6uYv660","Jennifer M. D'Auteuil, MSN, APRN",3.7,3,Pediatrician,"100 Hitchcock Way, Manchester, NH 03104, United States","2H6G+5H Manchester, New Hampshire, USA",https://providers.dartmouth-health.org/1696/jennifer-m-dauteuil,+1 603-695-2750,,,https://lh3.googleusercontent.com/p/AF1QipM65J0yQZCYVp4qAxHUad4WltjJFBbYmdfL-3ga=w427-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:22.099Z,,
"https://www.google.com/maps/place/Renee+A.+Travassos,+DO/data=!4m7!3m6!1s0x89e24fc854e328a3:0xcf44e1e70d2c8681!8m2!3d43.010453!4d-71.4235355!16s%2Fg%2F11hz5vm7vf!19sChIJoyjjVMhP4okRgYYsDefhRM8","Renee A. Travassos, DO",4.0,4,Pediatrician,"100 Hitchcock Way, Manchester, NH 03104, United States","2H6G+5H Manchester, New Hampshire, USA",https://www.dartmouth-hitchcock.org/findaprovider/provider/1185/Renee-A-Travassos,+1 603-695-2750,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XQ7UmAyFh1BYG5dgHofGAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.33533&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:24.638Z,,
"https://www.google.com/maps/place/Dr.+Roger+S.+Frieden,+MD/data=!4m7!3m6!1s0x89e24effdacfba2f:0xf6e27f37f63dce65!8m2!3d42.9833866!4d-71.4317171!16s%2Fg%2F1vc82tqs!19sChIJL7rP2v9O4okRZc499jd_4vY","Dr. Roger S. Frieden, MD",5.0,2,Pediatrician,"275 Mammoth Rd, Manchester, NH 03109, United States","XHM9+98 Manchester, New Hampshire, USA",https://weence.com/medical/doctors/manchester/dr-roger-s-frieden-md/,+1 603-663-8300,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=srzpXbPNlDXxNBy5gZB2bQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.8146296&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:27.348Z,,
https://www.google.com/maps/place/Dartmouth+Hitchcock+Clinics+Manchester+%7C+Pediatric+Neurology/data=!4m7!3m6!1s0x89e24f2a4226ad55:0xa7c3feec57395387!8m2!3d43.0104345!4d-71.4229538!16s%2Fg%2F11cly8bwry!19sChIJVa0mQipP4okRh1M5V-z-w6c,Dartmouth Hitchcock Clinics Manchester | Pediatric Neurology,2.9,39,Medical clinic,"100 Hitchcock Way, Manchester, NH 03104, United States","2H6G+5R Manchester, New Hampshire, USA",https://www.dartmouth-hitchcock.org/locations-directions/dh-manchester-notre-dame,+1 603-695-2940,Closed · Opens 8 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XQ7UmAyFh1BYG5dgHofGAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.38345&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:32.134Z,,
https://www.google.com/maps/place/Amoskeag+Health/data=!4m7!3m6!1s0x89e24f2f85d0a05d:0xca1b020755ff46bf!8m2!3d42.9964199!4d-71.4660688!16s%2Fg%2F1txnqg97!19sChIJXaDQhS9P4okRv0b_VQcCG8o,Amoskeag Health,4.6,858,Medical clinic,"145 Hollis St, Manchester, NH 03101, United States","XGWM+HH Manchester, New Hampshire, USA",http://www.amoskeaghealth.org/,+1 603-626-9500,,,https://lh3.googleusercontent.com/p/AF1QipOm8Uts0ZOVV--IMgBEotIndk_Ib2XIp_yuHEpi=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:37.113Z,,
https://www.google.com/maps/place/Elliot+Pediatric+Surgery+Associates/data=!4m7!3m6!1s0x89e24f0276d9ff57:0x8b2c34e544ae969b!8m2!3d42.9837012!4d-71.4382323!16s%2Fg%2F1tdbrwjh!19sChIJV__ZdgJP4okRm5auROU0LIs,Elliot Pediatric Surgery Associates,4.4,13,Pediatrician,"First flr, 1 Elliot Way, Manchester, NH 03103, United States","XHM6+FP Manchester, New Hampshire, USA",https://www.elliothospital.org/website/pediatric-surgery.php,+1 603-663-8393,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweol0PzKjNY_VtpIZwHOsjZf_pl44dwAp00qp4xYhI4JnwCQ9mZeOqWCOz9OwfX9208zMlqLN-wdBm0_75K-bcF6dP6XI7nFcGShNkd1X-k5LVPadDmfr4el6dSfRKCsSL_1iQ83=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Manchester+NH/@42.9956397,-71.4547891,14z",2026-02-10T22:55:41.996Z,,
