placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,isBlackOwned,attributes
https://www.google.com/maps/place/Ellie+Mental+Health/data=!4m7!3m6!1s0x863f9f1d9b521f4d:0x72772fdcab8b3ec8!8m2!3d29.303261!4d-94.7916132!16s%2Fg%2F11vpfgq48z!19sChIJTR9Smx2fP4YRyD6Lq9wvd3I,Ellie Mental Health,5.0,11,Mental health service,"622 22nd St, Galveston, TX 77550, United States","8635+89 Galveston, Texas, USA",http://elliementalhealth.com/locations/galveston-tx,+1 409-220-6082,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Dc6cYtn9jcF96IX9sr6yVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.91336&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:26.542Z,,,,,,,,,,
"https://www.google.com/maps/place/UTMB+Health+Psychiatry,+PCP+Galveston/data=!4m7!3m6!1s0x863f9e36a8d29f81:0x30a2acdc76ee09ca!8m2!3d29.314894!4d-94.7747253!16s%2Fg%2F11bbrmxv4p!19sChIJgZ_SqDaeP4YRygnudtysojA","UTMB Health Psychiatry, PCP Galveston",3.3,11,Psychiatrist,"400 Harborside Dr Suites 118-119, Entrance B, Galveston, TX 77555, United States","867G+X4 Galveston, Texas, USA",https://www.utmbhealth.com/servicelines/behavioral-mental-health,+1 409-772-0770,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipOIZKHVmPoDVBfRkxzfVfmkzwairy1FSgzqgzXZ=w408-h271-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:32.299Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/UTMB+Health+Pedi+Psychology%2FMental+Health,+Galveston/data=!4m7!3m6!1s0x863f9decd21e3ab5:0xf3b209e0d28c988!8m2!3d29.2891472!4d-94.8429088!16s%2Fg%2F11j47zn1yy!19sChIJtToe0uydP4YRiMkoDZ4gOw8","UTMB Health Pedi Psychology/Mental Health, Galveston",5.0,1,Child psychologist,"6416 Broadway St, Galveston, TX 77551, United States","75Q4+MR Galveston, Texas, USA",https://www.utmbhealth.com/services/developmental-behavioral-mental-health/child-and-adolescent-services-and-providers,+1 409-772-3680,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMLeOEciaZz9MZEU5LA2s_ID-4sy3uHg5Tar-Xz=w754-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:37.832Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/UTMB+Department+of+Psychiatry+and+Behavioral+Sciences/data=!4m7!3m6!1s0x863f9e38478bbf23:0x205d15dca5beac56!8m2!3d29.3113724!4d-94.7773653!16s%2Fg%2F12hkdqycy!19sChIJI7-LRzieP4YRVqy-pdwVXSA,UTMB Department of Psychiatry and Behavioral Sciences,4.0,1,Mental health clinic,"301 University Blvd, Galveston, TX 77555, United States","866F+G3 Galveston, Texas, USA",https://www.utmb.edu/psychiatry/,+1 409-772-0770,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n9PDlwmYjj3ESG7CVgzzJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.97015&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:40.813Z,,,,,,,,,,
"https://www.google.com/maps/place/Gulf+Coast+Center/@29.2941247,-94.8198146,17z/data=!3m1!4b1!4m6!3m5!1s0x863f9e6cef72a4ab:0xecab71bf18ca5689!8m2!3d29.2941247!4d-94.8198146!16s%2Fg%2F1tjxg0t5",Gulf Coast Center,4.5,15,Mental health service,"4700 Broadway Avenue J Suite F103, Galveston, TX 77551, United States","75VJ+J3 Galveston, Texas, USA",http://gulfcoastcenter.org/,+1 800-643-0967,Closed · Opens 8 am Tue,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:48.215Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/The+Space+Between+Psychotherapy/data=!4m7!3m6!1s0x863f9d747c1d899f:0x9c441f471927734!8m2!3d29.2732735!4d-94.8357031!16s%2Fg%2F11fj6krv8f!19sChIJn4kdfHSdP4YRNHeScfRBxAk,The Space Between Psychotherapy,4.7,12,Psychotherapist,"6511 Stewart Rd #1c, Galveston, TX 77551, United States","75F7+8P Galveston, Texas, USA",https://thespacebetweentherapy.com/,+1 409-220-3067,Closed · Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipNBMcSu3Cs6dqZEXgecFHhFh-uJ_eJKybxgaPVu=w408-h272-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:54.256Z,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,10 am–4 pm,Closed,,,
"https://www.google.com/maps/place/UTMB+Health+Pedi+Psychology%2FMental+Health,+PCP+Galveston/data=!4m7!3m6!1s0x863f9e36aed98edf:0x81d7264797fabf90!8m2!3d29.3149325!4d-94.7747821!16s%2Fg%2F11g7z7s3st!19sChIJ347ZrjaeP4YRkL_6l0cm14E","UTMB Health Pedi Psychology/Mental Health, PCP Galveston",,,Psychologist,"400 Harborside Dr Suite 103, Entrance A, Galveston, TX 77555, United States","867G+X3 Galveston, Texas, USA",https://www.utmbhealth.com/servicelines/behavioral-mental-health,+1 409-772-3695,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipOv4ltfy0B_-cg9JouVaWhSnWuIGZrgjF2wz723=w408-h271-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:15:59.699Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/UTMB+Health+Behavioral+Health,+John+Sealy+Galveston/data=!4m7!3m6!1s0x863f9fae08004951:0x77acfb8bac641342!8m2!3d29.3096197!4d-94.7767252!16s%2Fg%2F11yc71xjv5!19sChIJUUkACK6fP4YRQhNkrIv7rHc","UTMB Health Behavioral Health, John Sealy Galveston",,,Psychiatrist,"301 8th St 10th Floor, Galveston, TX 77555, United States","865F+R8 Galveston, Texas, USA",https://www.utmbhealth.com/servicelines/behavioral-mental-health,+1 409-266-0370,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2jIq1LdLjva9e0YtNVLPow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.39105&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:16:04.649Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Texas+Care+Galveston/data=!4m7!3m6!1s0x863f9d07a74af77f:0xa5b01c61d4665fef!8m2!3d29.2941304!4d-94.8199417!16s%2Fg%2F11m5rz8bwq!19sChIJf_dKpwedP4YR719m1GEcsKU,Texas Care Galveston,,,Mental health clinic,"4700 Broadway Avenue J Suite C109, Galveston, TX 77551, United States","75VJ+M2 Galveston, Texas, USA",https://texascaregalveston.com/,+1 409-340-0322,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xeAeAO4G8FRtYjTh0mmlNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.01068&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:16:09.524Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Teen+Health+Center,+Inc./data=!4m7!3m6!1s0x863f9dd59fb93597:0x1ca64b18647da458!8m2!3d29.2880433!4d-94.8107466!16s%2Fg%2F1td25txr!19sChIJlzW5n9WdP4YRWKR9ZBhLphw","Teen Health Center, Inc.",4.7,6,Medical clinic,"Ball High School Room 1014, 4115 Avenue O, Galveston, TX 77550, United States","75QQ+6P Galveston, Texas, USA",http://teenhealthcenter.org/,+1 409-761-3530,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipPFMQwlEzWbTMPhjN6cpPb2Y74UP66mhzyQFbZB=w408-h272-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Galveston+Galveston+TX/@29.3012309,-94.7950151,14z",2025-12-16T03:16:14.682Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,,,
